facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
F02037,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02034,Pierce,0,2,3,0,0,5,0,0,2,"2023,2025",2025,2025,ok
F02038,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02035,Spokane,1,0,0,2,0,3,0,0,0,"2023,2024",2024,,ok
F02036,King,0,0,0,0,0,0,0,0,0,,,,ok
F02007,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02042,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02040,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02041,King,0,0,0,0,0,0,0,0,0,,,,ok
F02039,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02043,King,0,0,0,0,0,0,0,0,0,,,,ok
F02046,King,0,0,0,0,0,0,0,0,0,,,,ok
F02045,King,0,0,0,0,0,0,0,0,0,,,,ok
F02049,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02048,Pierce,2,1,0,0,0,3,0,0,0,"2024,2025",2025,,ok
F02047,King,0,0,0,0,0,0,0,0,0,,,,ok
F02051,Pierce,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02050,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02052,Spokane,1,1,0,0,0,2,0,0,0,2024,2024,,ok
F02053,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02054,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02055,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02022,King,0,0,0,0,0,0,0,0,0,,,,ok
F02026,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02056,King,0,0,0,0,0,0,0,0,0,,,,ok
F02058,Spokane,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F02057,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02059,King,0,0,0,0,0,0,0,0,0,,,,ok
F02060,King,0,0,0,0,0,0,0,0,0,,,,ok
F02033,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02063,Pierce,1,3,0,0,0,4,0,0,0,"2024,2025",2025,,ok
F02028,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02064,Spokane,1,0,0,0,0,1,0,0,0,2023,2023,,ok
F02065,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02066,Pierce,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02067,King,0,0,0,0,0,0,0,0,0,,,,ok
F02069,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02071,King,0,0,0,0,0,0,0,0,0,,,,ok
F02072,King,0,0,0,0,0,0,0,0,0,,,,ok
F02074,King,0,0,0,0,0,0,0,0,0,,,,ok
F02073,King,0,0,0,0,0,0,0,0,0,,,,ok
F02075,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02044,King,0,0,0,0,0,0,0,0,0,,,,ok
F02076,King,0,0,0,0,0,0,0,0,0,,,,ok
F02077,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02079,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02078,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02080,King,0,0,0,0,0,0,0,0,0,,,,ok
F02082,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02083,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02084,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02085,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02087,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02086,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02088,King,0,0,0,0,0,0,0,0,0,,,,ok
F02089,Pierce,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02090,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02092,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02091,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02093,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02062,King,0,0,0,0,0,0,0,0,0,,,,ok
F02061,Pierce,0,1,0,0,0,1,0,0,0,2026,2026,,ok
F02094,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02095,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02096,Spokane,1,2,1,0,0,4,1,0,0,2025,2025,2025,ok
F02097,King,0,0,0,0,0,0,0,0,0,,,,ok
F02098,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02101,King,0,0,0,0,0,0,0,0,0,,,,ok
F02102,King,0,0,0,0,0,0,0,0,0,,,,ok
F02104,King,0,0,0,0,0,0,0,0,0,,,,ok
F02103,King,0,0,0,0,0,0,0,0,0,,,,ok
F02068,King,0,0,0,0,0,0,0,0,0,,,,ok
F02070,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02105,Spokane,2,0,0,0,0,2,0,0,0,2025,2025,,ok
F02106,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02107,King,0,0,0,0,0,0,0,0,0,,,,ok
F02109,King,0,0,0,0,0,0,0,0,0,,,,ok
F02108,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02112,King,0,0,0,0,0,0,0,0,0,,,,ok
F02081,King,0,0,0,0,0,0,0,0,0,,,,ok
F02113,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02114,Spokane,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02116,Spokane,1,2,0,0,0,3,0,0,0,"2024,2025",2025,,ok
F02115,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02117,King,0,0,0,0,0,0,0,0,0,,,,ok
F02119,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02120,Spokane,1,2,0,0,0,3,0,0,0,"2024,2025",2025,,ok
F02121,King,0,1,0,0,0,1,0,0,0,2026,2026,,ok
F02122,King,0,1,0,0,0,1,0,0,0,2024,2024,,ok
F02123,Spokane,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02125,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02124,Pierce,1,0,1,0,0,2,1,0,0,2026,2026,2026,ok
F02126,Pierce,1,0,0,0,0,1,0,0,0,2026,2026,,ok
F02127,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02128,King,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02129,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02130,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02099,Spokane,1,1,3,2,0,7,0,2,2,"2023,2024,2025,2026",2026,2026,ok
F02131,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02132,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02133,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02135,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02134,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02137,King,0,1,0,0,0,1,0,0,0,2025,2025,,ok
F02138,King,0,2,0,0,0,2,0,0,0,2024,2024,,ok
F02139,King,0,0,0,0,0,0,0,0,0,,,,ok
F02140,King,0,0,0,0,0,0,0,0,0,,,,ok
F02142,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02110,Spokane,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02141,King,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02143,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02144,King,0,0,0,0,0,0,0,0,0,,,,ok
F02145,King,0,0,0,0,0,0,0,0,0,,,,ok
F02146,Pierce,1,4,0,0,0,5,0,0,0,"2024,2025",2025,,ok
F02118,King,0,0,0,0,0,0,0,0,0,,,,ok
F02148,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02149,Spokane,1,1,1,0,0,3,1,0,0,"2024,2025",2025,2025,ok
F02150,Spokane,1,0,0,0,0,1,0,0,0,2024,2024,,ok
F02151,Spokane,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02152,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02154,King,0,0,0,0,0,0,0,0,0,,,,ok
F02111,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02155,King,0,0,0,0,0,0,0,0,0,,,,ok
F02156,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02157,Spokane,1,0,1,0,0,2,1,0,0,2025,2025,2025,ok
F02158,King,0,0,0,0,0,0,0,0,0,,,,ok
F02159,King,0,0,0,0,0,0,0,0,0,,,,ok
F02161,King,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02162,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02163,Spokane,0,3,0,0,0,3,0,0,0,"2024,2025,2026",2026,,ok
F02164,King,0,0,0,0,0,0,0,0,0,,,,ok
F02166,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02165,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02136,King,0,0,0,0,0,0,0,0,0,,,,ok
F02167,Pierce,1,2,0,0,0,3,0,0,0,2025,2025,,ok
F02168,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02169,Pierce,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F02170,Spokane,0,2,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02171,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02173,Pierce,0,0,0,0,0,0,0,0,0,,,,ok
F02174,King,0,0,0,0,0,0,0,0,0,,,,ok
F02175,King,0,0,0,0,0,0,0,0,0,,,,ok
F02176,King,0,0,0,0,0,0,0,0,0,,,,ok
F02177,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02178,King,0,0,0,0,0,0,0,0,0,,,,ok
F02180,King,0,0,0,0,0,0,0,0,0,,,,ok
F02179,Pierce,1,0,0,0,0,1,0,0,0,2026,2026,,ok
F02182,Pierce,1,3,1,0,0,5,1,0,0,"2024,2026",2026,2026,ok
F02147,King,0,0,0,0,0,0,0,0,0,,,,ok
F02181,King,0,0,0,0,0,0,0,0,0,,,,ok
F02153,Spokane,1,1,0,0,0,2,0,0,0,"2024,2025",2025,,ok
F02183,Spokane,1,1,0,0,0,2,0,0,0,2025,2025,,ok
F02184,King,0,0,0,0,0,0,0,0,0,,,,ok
F02185,Spokane,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02186,King,0,2,0,0,0,2,0,0,0,2025,2025,,ok
F02188,King,0,0,0,0,0,0,0,0,0,,,,ok
F02190,Pierce,1,0,0,0,0,1,0,0,0,2025,2025,,ok
F02191,Pierce,1,0,0,0,0,1,0,0,0,2024,2024,,ok
