facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
F00893,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",2,0,1,1,0,0,1,False,False,False,True,False,False,False,2026
F00894,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00895,King,5,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00896,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00897,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Private Duty Nursing, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00898,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00899,King,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,0,1,1,0,0,1,False,False,False,True,False,False,False,2023
F00900,King,4,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
F00901,Pierce,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00902,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00903,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00904,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00905,King,4,No/Unknown,"Mental Health, Dementia",,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00906,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00907,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00908,Pierce,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Private Duty Nursing, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00909,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00910,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00911,Pierce,5,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00912,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, WCF AFH SOW",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00913,Spokane,5,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00914,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00915,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,2,0,0,0,0,1,False,False,False,False,False,False,False,
F00916,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00917,King,4,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00918,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",0,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00919,King,5,Yes (has DSHS contract),"Mental Health, Dementia",Adult Family Home,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00920,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,2,True,False,False,False,False,False,False,
F00921,King,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00922,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00923,Spokane,6,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",1,0,0,0,0,0,4,True,True,False,False,False,False,False,
F00924,Pierce,4,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,1,0,1,1,0,0,1,False,False,False,True,False,False,False,2024
F00925,Pierce,8,Yes (has DSHS contract),"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00926,Pierce,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,0,0,0,0,0,1,False,False,False,False,False,False,False,
F00927,King,5,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",1,4,0,0,0,0,1,False,False,True,False,False,False,False,
F00928,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,0,1,1,0,0,1,False,False,False,True,False,False,False,2024
F00929,King,6,Yes (has DSHS contract),"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1,1,0,0,0,0,1,False,False,False,False,False,False,False,
