facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
F01592,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01593,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01594,OP,Pierce,5,"Mental Health, Dementia, Developmental Disabilities",,3F,,2026-06-26,No/Unknown,0,1,0,0,0,0,0,1,2023,,1,1,
F01595,OP,Spokane,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),2,1,0,0,0,0,0,3,2026,,1,1,
F01596,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3F,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01597,OP,Spokane,5,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",1E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01598,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,4,0,0,0,0,0,5,2024,,1,1,
F01599,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, Expanded Community Services, Specialized Behavior Support",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01600,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01601,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2G,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01602,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01603,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01604,OP,King,6,"Mental Health, Dementia",Adult Family Home,2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01605,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2025,,1,1,
F01606,OP,Pierce,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, HCS Meaningful Day",3A,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2024,,1,1,
F01607,OP,King,6,"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01608,OP,King,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day",2E,,2026-06-26,Yes (has DSHS contract),0,0,0,0,0,0,0,0,,,1,1,
F01609,OP,Pierce,6,"Mental Health, Dementia","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Specialized Behavior Support",3F,,2026-06-26,Yes (has DSHS contract),1,1,0,0,0,0,0,2,2023,,1,1,
F01610,OP,King,6,"Mental Health, Dementia, Developmental Disabilities","Adult Family Home, DDA Meaningful Day, Expanded Community Services, HCS Meaningful Day, Private Duty Nursing",2G,,2026-06-26,Yes (has DSHS contract),1,0,0,0,0,0,0,1,2026,,1,1,
F01611,OP,King,8,"Mental Health, Dementia",,2G,,2026-06-26,No/Unknown,2,0,0,0,0,0,0,2,2025,,1,1,
